"Year","EEZ","EZnm","EEZ.alt","Partgrp","Grp","Flag","Days","ALBc","BETc","YFTc"
2002,"I6","Int6","HS","High Seas","High Seas","CN",246,210.482,29.641,0.538
2002,"I6","Int6","HS","High Seas","High Seas","JP",40447.009,19521.406228,8775.690818,2019.237978
2002,"I6","Int6","HS","High Seas","High Seas","TW",4456.491,1342.88415,645,2743.5
2002,"I6","Int6","HS","High Seas","High Seas","US",3154.217,34.842859,1373.914015,23.963494
2002,"I6","Int6","HS","High Seas","High Seas","VU",1182.232,1510.704498,83.263055,2.551451
2002,"I7","Int7","HS","High Seas","High Seas","AU",288.219,12.630581,12.698556,19.641788
2002,"I7","Int7","HS","High Seas","High Seas","BZ",345,476.387,6.436,2.879
2002,"I7","Int7","HS","High Seas","High Seas","CK",2,0.469155,0,0.102905
2002,"I7","Int7","HS","High Seas","High Seas","CN",950.289,2278.672,0,0
2002,"I7","Int7","HS","High Seas","High Seas","FJ",142.05,100.351085,2.21658,5.197025
2002,"I7","Int7","HS","High Seas","High Seas","JP",3972.1,2142.047637,721.890348,713.812872
2002,"I7","Int7","HS","High Seas","High Seas","KR",54,156.17,1.06,0.667
2002,"I7","Int7","HS","High Seas","High Seas","NZ",53.544,10.824394,1.537722,0
2002,"I7","Int7","HS","High Seas","High Seas","TO",368.398,214.188374,4.048699,2.548699
2002,"I7","Int7","HS","High Seas","High Seas","TW",7142.931,13911.085019,0,0.031
2002,"I7","Int7","HS","High Seas","High Seas","US",7,0.371104,0.062971,0.168581
2002,"I7","Int7","HS","High Seas","High Seas","VU",2481.512,3778.95789,64.209309,50.378418
2002,"I8","Int8","HS","High Seas","High Seas","CN",136.689,81.438,5.026,23.673
2002,"I8","Int8","HS","High Seas","High Seas","FJ",575.76,346.681866,19.972841,75.548317
2002,"I8","Int8","HS","High Seas","High Seas","NZ",18.234,12.046045,1.120195,1.173316
